species,sp_area,sister_area,intersection,union,minimal_area,divergence_time
albicans,1445.58010448276,223.506694505,221.03106713003,1448.05573185773,223.506694505,0.24907
alborufescens,591.473098943296,1451.08555846836,591.473098943296,1451.08555846836,591.473098943296,8.74909
amnicola,87.052414282797,165.647868685813,0,252.70028296861,87.052414282797,3.18291
angelana,1.767055992848,66.5742761831745,1.67187881504665,66.6694533609758,1.767055992848,2.28707
argyrophylla,792.671271121418,242.113481054351,242.113481054351,792.671271121418,242.113481054351,1.07987
atlantica,6.4763289624195,0.00732281347450042,0,6.48365177589401,0.00732281347450042,4.19913
baumgratziana,12.4207392180905,0.504037756833995,0.128354218645606,12.7964227562789,0.504037756833995,1.88693
brunnea,25.981658510634,234.025599444561,25.981658510634,234.025599444561,25.981658510634,0.89928
budlejoides,121.445776608634,62.5472936872186,55.2679776635942,128.725092632259,62.5472936872186,4.10151
burchellii,197.880388464257,271.299329071929,144.531657644139,324.648059892048,197.880388464257,0.69616
capixaba,0.358363024694497,12.5680496035421,0.322476273912866,12.6039363543237,0.358363024694497,4.51254
castaneiflora,2.31608698108101,21.748705899059,1.58282362656183,22.4819692535782,2.31608698108101,2.08269
chrysophylla,439.437973629708,350.993639826623,248.722301560369,541.709311895963,350.993639826623,0.25951
cinerascens,102.40412186849,50.7102515160964,33.215762482047,119.898610902539,50.7102515160964,3.55551
cipoensis,0.148545757478001,32.1339197321569,0.148545757477999,32.133919732157,0.148545757478001,7.78131
corallina,85.554227257755,35.92174769943,26.6685821411399,94.807392816045,35.92174769943,1.0931
cowanii,165.647868685813,87.052414282797,0,252.70028296861,87.052414282797,3.18291
cubatanensis,104.60197156881,5.03597178949698,4.2227841076542,105.415159250653,5.03597178949698,2.60934
cyathanthera,32.1339197321569,0.148545757478001,0.148545757477999,32.133919732157,0.148545757478001,7.78131
dichrophylla,350.993639826623,439.437973629708,248.722301560369,541.709311895963,350.993639826623,0.25951
discolor,62.5472936872186,121.445776608634,55.2679776635942,128.725092632259,62.5472936872186,4.10151
dispar,362.19956747586,364.631696553736,107.225026800435,619.606237229162,362.19956747586,6.14057
dura,0.00732281347450042,6.4763289624195,0,6.48365177589401,0.00732281347450042,4.19913
fallax,880.168185059042,1218.64769670055,876.376610177593,1222.439271582,880.168185059042,7.25188
fasciculata,41.3232096035808,17.318656486335,17.3042374560036,41.3376286339122,17.318656486335,2.76922
ferruginata,271.299329071929,197.880388464257,144.531657644139,324.648059892048,197.880388464257,0.69616
flammea,234.025599444561,15.4658356942816,15.4658356942816,234.025599444561,15.4658356942816,0.79352
formosa,50.7102515160964,102.40412186849,33.215762482047,119.898610902539,50.7102515160964,3.55551
heliotropoides,166.406613263672,528.817027938429,159.620805661839,535.602835540263,166.406613263672,5.01229
hyemalis,65.1257260189065,15.6089102000108,14.706035892892,66.0286003260253,15.6089102000108,0.53738
