sA.c,sA.m,sB.c,sB.m,sAB.c,sAB.m,xB.c,xB.m,dA,dB
0.156251666606484,0.101432297560019,0.0123112227727598,0.565249202703993,0.00029513320494467,-4.54986653344852e-05,0.0744410202964891,-0.0118470240384222,0.11827339166188,0.223150197736216
0.100626449747933,0.0428605852424524,0.130578384071102,0.136356308046822,1.0003141726581e-05,-1.0207483372234e-06,0.000865663452831645,-9.27706130208236e-05,0.0851162692507112,0.135576012788593
0.165582755578108,0.0830674572032571,0.149292426219911,0.431073471050992,7.18420792775363e-05,-6.64478547834739e-06,3.11244865097201e-05,-4.18120456061879e-06,0.120520627256507,0.213893682154362
0.130242690213921,0.07331602034926,0.26231301348248,0.190688690156577,2.78319363283732e-05,-2.72053774027731e-06,0.0327797718015416,-0.0046006767861899,0.111112538289728,0.225018785491569
0.0405238868678556,0.0283008152012983,0.109956922573541,0.0570663721693712,5.48610136677483e-08,1.9265870319605e-06,2.2341941329944e-07,8.52880281930287e-10,0.055862900036982,0.0980722515334841
0.0752586069236806,0.0460385575965813,0.226021652995173,0.105597617003402,1.58081962031407e-05,9.45430114903412e-06,0.117028375538446,-0.0114040489520675,0.0698946112507053,0.192355370911055
0.10302846117028,0.0787760554118898,0.111157729721228,0.253061233275406,2.92771848975755e-08,0.0385502840982945,1.93201833092551e-06,-2.12925106438395e-07,0.107725955505632,0.182100458471856
0.0921523466220174,0.0627221698349026,0.142084578841968,0.155994243482306,9.99658456347096e-08,1.02016948107694e-08,8.2961827080954e-06,-5.5473342154221e-07,0.0975826926554181,0.138132443233582
0.048156087708908,0.0427624366535993,0.0668804378443938,0.110613861894041,5.92149274845137e-08,4.37021838555827e-08,0.0307132343282761,-0.00287217744392871,0.070894958395289,0.12409352928527
0.0985116935372528,0.0874638973527433,0.11328189091573,0.260587963517981,0.011308116515507,-0.00165580614039934,0.0865909193800002,-0.0126794375901432,0.10085338123746,0.17696601292868
0.104073848119256,0.0494450894399101,0.131236359225901,0.199215153840279,3.86303433847101e-05,4.41044997427872e-06,0.000139621651521354,-1.67368044595358e-05,0.0862864968318496,0.163790305831792
0.119841074283942,0.043125036337819,0.163062491748494,0.161033611523945,9.8174563880388e-10,8.23700652845432e-07,3.69084210351857e-09,7.99110521550977e-07,0.0907188697863585,0.155584885103237
0.102173655126639,0.075727787201649,0.134246943510095,0.199136493815852,1.66493315605284e-06,-1.90457270486319e-07,0.00119371058835032,-0.000160994156152957,0.107090934271154,0.146412710489317
0.0950880923581464,0.0312641145147516,0.123821640285955,0.182098718450431,1.84314530307625e-07,7.90351040014085e-08,4.85672082768532e-06,-4.73760679095863e-07,0.069749458037481,0.15007609094578
0.142134998214743,0.0668401035907772,0.155626569885665,0.245664712670102,0.000119869127435832,-1.6286793146379e-05,0.11510884865008,-0.0156681739645638,0.100867541520378,0.215573984713857
0.0684905408811671,0.101123901460837,0.170858118693314,0.184933321200225,1.67375350102066e-06,-1.40764331452631e-07,0.0442245369895461,-0.00659627187359936,0.109852271580717,0.182558926309816
0.0993078357921444,0.0483077057257056,0.117774526941494,0.154173500182108,3.88135915575783e-10,7.63330788969636e-07,1.34675772403786e-09,8.17889050947217e-09,0.0881509167038864,0.133097930941882
0.118850528007766,0.064345889631251,0.114595096762811,0.22643578629542,2.61932145358091e-05,-3.43723173008428e-06,3.05149248218366e-08,-2.4430976919568e-09,0.0987784142193636,0.158164209629324
0.103716212106534,0.0882478181174894,0.0625409159804548,0.294756406249862,9.28741590215684e-09,7.34372796019228e-08,0.401189584565995,-0.0484957828930055,0.0735001179063989,0.250552172387041
0.106103958127478,0.106513998006815,0.156940908443485,0.28798133034765,2.31931592014071e-10,5.97512496284613e-09,1.58639875881986e-08,-1.9648664254379e-09,0.118160486364045,0.1839270644206
0.133472921851804,0.111211593782254,0.0866236464560245,0.286782582634089,3.07377202298496e-05,-4.80770207082147e-06,0.200376888764835,-0.031754386084896,0.128374899190285,0.221046906679703
0.116422273739087,0.0630808447577328,0.148722595493998,0.266820472327611,0.000533732300981188,-7.16356688484779e-05,0.000331869533218747,-4.44048412738263e-05,0.094721205241743,0.190602278096399
0.0856500987679548,0.0746041090834854,0.148507657756191,0.253151434357525,6.18358034850585e-05,-4.24547530857598e-06,0.000412723248817804,-5.28716706843402e-05,0.0941524856519163,0.178126549945147
0.0987850021039402,0.0521303440697087,0.10376190920741,0.228388252479021,7.87919015808357e-06,8.16218757965983e-06,5.19581532769183e-06,-3.45328602785739e-07,0.0856469175932846,0.160688928187811
0.162300444046306,0.114179022997153,0.135337663442336,0.42699882797321,5.28900212683474e-06,5.35578836262858e-06,0.060887838216739,-0.011029555983096,0.138273165861239,0.244946196703099
0.126064897277426,0.0606955003881757,0.130862519268143,0.105795687678848,4.52786027687112e-08,2.98476101675915e-06,8.48989963074911e-07,1.12792953098706e-07,0.102127001245443,0.12315848365996
0.0833823015506472,0.0392875459785469,0.0504780127000227,0.214741959121748,0.000356931674817334,-3.5466904087786e-05,6.75984940573198e-05,-6.70676271964142e-06,0.0699545064020519,0.150289845054443
0.105120727698824,0.0870066420577636,0.100743933715815,0.250358120933341,2.43710440137717e-05,-2.64515379856875e-06,0.354658611279814,-0.0420141201214884,0.0786247871969576,0.219769002786205
0.136880626152778,0.0750388447765202,0.121680493605689,0.339662594741038,1.80595848877574e-06,7.97069958528717e-07,0.0466825826089851,-0.00715279165700951,0.106863120162953,0.217532139857688
0.0614308483018221,0.0512854213131288,0.15572552983212,0.180956424263166,9.9714661226035e-08,3.38304035559611e-06,1.07774820244456e-07,6.98736812253549e-07,0.0721176340022987,0.169321363369288
0.101342015982159,0.085437920512415,0.123025591665932,0.288350978947423,0.000137309148282858,-2.02499701444505e-05,0.0378297627698732,-0.00558424738895498,0.106637149202433,0.199847896404337
